,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,16.0,15.0,19.0,18.0,200.0,4.0,0.0,1.0,1.0,12.99,13.0,True,new,experiments/results/TA_2_2/focused_4/79.onnx,TA,1,1
1,19.0,17.0,23.0,21.0,203.0,5.0,0.0,1.0,2.0,13.02,15.0,True,new,experiments/results/TA_2_2/focused_4/79.onnx,TA,1,2
2,21.0,19.0,26.0,24.0,204.0,6.0,0.0,1.0,2.0,14.48,18.0,True,new,experiments/results/TA_2_2/focused_4/79.onnx,TA,1,3
3,22.0,21.0,28.0,27.0,206.0,6.0,0.0,1.0,1.0,14.51,17.0,True,new,experiments/results/TA_2_2/focused_4/79.onnx,TA,1,4
4,25.0,23.0,32.0,30.0,187.0,5.0,0.0,1.0,2.0,14.0,16.0,True,new,experiments/results/TA_2_2/focused_4/79.onnx,TA,1,5
5,27.0,25.0,35.0,33.0,209.0,6.0,0.0,1.0,2.0,14.51,16.0,True,new,experiments/results/TA_2_2/focused_4/79.onnx,TA,1,6
6,29.0,27.0,38.0,36.0,192.0,7.0,0.0,1.0,2.0,15.98,20.0,True,new,experiments/results/TA_2_2/focused_4/79.onnx,TA,1,7
7,31.0,29.0,41.0,39.0,212.0,8.0,0.0,1.0,2.0,15.98,19.0,True,new,experiments/results/TA_2_2/focused_4/79.onnx,TA,1,8
8,33.0,31.0,44.0,42.0,210.0,8.0,0.0,1.0,2.0,16.0,23.0,True,new,experiments/results/TA_2_2/focused_4/79.onnx,TA,1,9
9,35.0,33.0,47.0,45.0,210.0,9.0,0.0,1.0,2.0,16.0,26.0,True,new,experiments/results/TA_2_2/focused_4/79.onnx,TA,1,10
10,37.0,35.0,50.0,48.0,210.0,9.0,0.0,1.0,2.0,16.0,38.0,True,new,experiments/results/TA_2_2/focused_4/79.onnx,TA,1,11
11,39.0,37.0,53.0,51.0,232.0,13.0,0.0,1.0,2.0,16.0,23.0,True,new,experiments/results/TA_2_2/focused_4/79.onnx,TA,1,12
12,41.0,39.0,56.0,54.0,216.0,13.0,0.0,1.0,2.0,16.48,28.0,True,new,experiments/results/TA_2_2/focused_4/79.onnx,TA,1,13
13,43.0,41.0,59.0,57.0,236.0,13.0,0.0,1.0,2.0,16.48,44.0,True,new,experiments/results/TA_2_2/focused_4/79.onnx,TA,1,14
14,45.0,43.0,62.0,60.0,222.0,13.0,0.0,1.0,2.0,16.48,26.0,True,new,experiments/results/TA_2_2/focused_4/79.onnx,TA,1,15
