,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,4.0,0.0,3.0,0.0,174.0,0.0,0.0,0.0,1.0,0.0,11.0,False,new,experiments/results/DP_2_2/boolean_5/65.onnx,DP,1,1
1,5.0,0.0,4.0,0.0,173.0,0.0,0.0,0.0,1.0,0.0,12.0,False,new,experiments/results/DP_2_2/boolean_5/65.onnx,DP,1,2
2,6.0,0.0,5.0,0.0,173.0,0.0,0.0,0.0,1.0,0.0,13.0,False,new,experiments/results/DP_2_2/boolean_5/65.onnx,DP,1,3
3,7.0,0.0,6.0,0.0,179.0,0.0,0.0,0.0,1.0,0.0,14.0,False,new,experiments/results/DP_2_2/boolean_5/65.onnx,DP,1,4
4,8.0,0.0,7.0,0.0,172.0,0.0,0.0,0.0,1.0,0.0,14.0,False,new,experiments/results/DP_2_2/boolean_5/65.onnx,DP,1,5
5,9.0,0.0,8.0,0.0,172.0,0.0,0.0,0.0,1.0,0.0,13.0,False,new,experiments/results/DP_2_2/boolean_5/65.onnx,DP,1,6
6,10.0,0.0,9.0,0.0,170.0,0.0,0.0,0.0,1.0,0.0,11.0,False,new,experiments/results/DP_2_2/boolean_5/65.onnx,DP,1,7
7,11.0,0.0,10.0,0.0,172.0,0.0,0.0,0.0,1.0,0.0,14.0,False,new,experiments/results/DP_2_2/boolean_5/65.onnx,DP,1,8
8,12.0,0.0,11.0,0.0,174.0,0.0,0.0,0.0,1.0,0.0,14.0,False,new,experiments/results/DP_2_2/boolean_5/65.onnx,DP,1,9
9,13.0,0.0,12.0,0.0,175.0,0.0,0.0,0.0,1.0,0.0,15.0,False,new,experiments/results/DP_2_2/boolean_5/65.onnx,DP,1,10
10,14.0,0.0,13.0,0.0,182.0,0.0,0.0,0.0,1.0,0.0,15.0,False,new,experiments/results/DP_2_2/boolean_5/65.onnx,DP,1,11
11,15.0,0.0,14.0,0.0,177.0,0.0,0.0,0.0,1.0,0.0,15.0,False,new,experiments/results/DP_2_2/boolean_5/65.onnx,DP,1,12
12,16.0,0.0,15.0,0.0,172.0,0.0,0.0,0.0,1.0,0.0,14.0,False,new,experiments/results/DP_2_2/boolean_5/65.onnx,DP,1,13
13,17.0,0.0,16.0,0.0,176.0,0.0,0.0,0.0,1.0,0.0,14.0,False,new,experiments/results/DP_2_2/boolean_5/65.onnx,DP,1,14
14,18.0,0.0,17.0,0.0,181.0,0.0,0.0,0.0,1.0,0.0,16.0,False,new,experiments/results/DP_2_2/boolean_5/65.onnx,DP,1,15
15,25.0,23.0,29.0,27.0,190.0,4.0,0.0,1.0,1.0,16.0,26.0,False,new,experiments/results/DP_2_2/boolean_5/65.onnx,DP,2,1
16,30.0,25.0,35.0,29.0,204.0,4.0,0.0,1.0,1.0,16.0,28.0,False,new,experiments/results/DP_2_2/boolean_5/65.onnx,DP,2,2
